GENRE=ImaginativeLiterature; TITLE=Девочка, которая всегда смеялась последней; AUTHOR=Александр Цыпкин; YEAR=2019; PUBLISHING=АСТ; PAGE_COUNT=288; PRICE=14.12; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Убить пересмешника; AUTHOR=Харпер Ли; YEAR=2017; PUBLISHING=АСТ; PAGE_COUNT=416; PRICE=10.44; BINDING=мягкая обложка
GENRE=ImaginativeLiterature; TITLE=Благие знамения; AUTHOR=Нил Гейман, Терри Пратчетт; YEAR=2019; PUBLISHING=Эксмо; PAGE_COUNT=512; PRICE=14.1; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Рик и Морти. Нужно больше приключений; AUTHOR=З. Горман, Д. Ройланд; YEAR=2018; PUBLISHING=Комильфо; PAGE_COUNT=392; PRICE=35.6; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Книжный вор; AUTHOR=Маркус Зусак; YEAR=2018; PUBLISHING=Эксмо; PAGE_COUNT=512; PRICE=8.79; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Татуировщик из Освенцима; AUTHOR=Хизер Моррис; YEAR=2019; PUBLISHING=Азбука; PAGE_COUNT=320; PRICE=18.51; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Виноваты звезды; AUTHOR=Джон Грин; YEAR=2015; PUBLISHING=АСТ; PAGE_COUNT=288; PRICE=12.35; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Происхождение; AUTHOR=Дэн Браун; YEAR=2017; PUBLISHING=АСТ; PAGE_COUNT=576; PRICE=21.47; BINDING=твердый переплет
GENRE=ProgrammingLiterature; TITLE=Изучаем Java; AUTHOR=Берт Бейтс, Кэти Сьерра; YEAR=2015; PUBLISHING=Эксмо; PAGE_COUNT=720; WEIGTH=1350; PRICE=33.38
GENRE=ProgrammingLiterature; TITLE=Изучаем C++ через программирование игр; AUTHOR=Майкл Доусон; YEAR=2019; PUBLISHING=Питер; PAGE_COUNT=352; WEIGTH=450; PRICE=32.59
GENRE=ProgrammingLiterature; TITLE=Swift. Основы разработки приложений под iOS, iPadOS и macOS; AUTHOR=Василий Усов; YEAR=2019; PUBLISHING=Питер; PAGE_COUNT=496; WEIGTH=420; PRICE=34.43
GENRE=ProgrammingLiterature; TITLE=Javascript и jQuery. Интерактивная веб-разработка; AUTHOR=Джон Дакетт; YEAR=2016; PUBLISHING=АСТ; PAGE_COUNT=640; WEIGTH=1120; PRICE=67.14
GENRE=ProgrammingLiterature; TITLE=Java. Эффективное программирование; AUTHOR=Джошуа Блох; YEAR=2013; PUBLISHING=ДМК; PAGE_COUNT=294; WEIGTH=400; PRICE=29.85
GENRE=ProgrammingLiterature; TITLE=Чистый Python. Тонкости программирования для профи; AUTHOR=Дэн Бейдер; YEAR=2019; PUBLISHING=Питер; PAGE_COUNT=288; WEIGTH=381; PRICE=47.51
GENRE=Encyclopedia; TITLE=1000 ошибок общего образования; YEAR=2010; PUBLISHING=Белый город; PAGE_COUNT=320; WIDTH=165; HEIGHT=215; THICKNESS=22; WEIGTH=580; PRICE=14.56
GENRE=Encyclopedia; TITLE=Европейское искусство. Энциклопедия. Живопись. Скульптура. Графика; YEAR=2006; PUBLISHING=Белый город; PAGE_COUNT=416; WIDTH=220; HEIGHT=280; THICKNESS=32; WEIGTH=2106; PRICE=62.82
GENRE=Encyclopedia; TITLE=Русские пословицы и поговорки в иллюстрациях; YEAR=2019; PUBLISHING=Эксмо; PAGE_COUNT=208; WIDTH=170; HEIGHT=215; THICKNESS=577; WEIGTH=23; PRICE=20.79
GENRE=Encyclopedia; TITLE=Всё, что должен знать каждый образованный человек; YEAR=2016; PUBLISHING=АСТ; PAGE_COUNT=192; WIDTH=205; HEIGHT=290; THICKNESS=960; WEIGTH=22; PRICE=36.63
GENRE=Encyclopedia; TITLE=Гиннесс. Мировые рекорды 2017; YEAR=2016; PUBLISHING=АСТ; PAGE_COUNT=256; WIDTH=225; HEIGHT=300; THICKNESS=1160; WEIGTH=22; PRICE=80.2
